Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T;model
4;AN;0.709882821;5.837064088;0.0549;0;0;796.2590118;2.39E+01;0.003217863;1.29E-05;0.015;3211.5;51.1;4
5;IN;0.053638695;0.516341729;0.0549;0;1.03;795.2700843;2.37E+01;0.003217863;1.29E-05;0.015;3110;55.4;5
5;IN;0.064638122;0.911881712;0.0549;0;1.03;795.246146;2.36E+01;0.003217863;1.29E-05;0.015;3110.8;53.6;4
4;AN;0.054526219;1.786499672;0.0549;0;1.03;795.2904558;2.33E+01;0.003217863;1.29E-05;0.015;3117.5;54;4
4;AN;0.069324431;3.519317677;0.0549;0;1.03;795.2375;2.29E+01;0.003217863;1.29E-05;0.015;3133.5;54.2;4
4;AN;0.061901863;4.922797511;0.0549;0;1.03;795.29351;2.26E+01;0.003217863;1.29E-05;0.015;3144.2;50.5;4
4;AN;0.071508171;6.519133015;0.0549;0;1.03;794.9171834;2.29E+01;0.003217863;1.29E-05;0.015;3146;53.7;4
5;IN;0.095126072;0.506501391;0.0549;0;1.03;794.8596436;2.35E+01;0.003217863;1.29E-05;0.015;3133.7;53.3;5
5;IN;0.108251975;0.971946144;0.0549;0;1.03;794.8672844;2.36E+01;0.003217863;1.29E-05;0.015;3138.6;53.4;4
5;IN;0.104795152;1.773806075;0.0549;0;1.03;794.8504743;2.35E+01;0.003217863;1.29E-05;0.015;3143.5;57.9;4
4;AN;0.10558306;3.020453338;0.0549;0;1.03;794.768477;2.32E+01;0.003217863;1.29E-05;0.015;3149.4;54.1;4
4;AN;0.120218319;4.92743029;0.0549;0;1.03;794.872361;2.27E+01;0.003217863;1.29E-05;0.015;3162.6;52.9;4
4;AN;0.106032209;5.957463685;0.0549;0;1.03;794.8591297;2.29E+01;0.003217863;1.29E-05;0.015;3162.4;51.6;4
5;IN;0.143385948;0.49199829;0.0549;0;1.03;794.4110081;2.37E+01;0.003217863;1.29E-05;0.015;3147.1;52.2;5
5;IN;0.156651408;0.895142234;0.0549;0;1.03;794.4446016;2.37E+01;0.003217863;1.29E-05;0.015;3149.6;53.4;5
5;IN;0.158285482;1.749507597;0.0549;0;1.03;794.4364655;2.34E+01;0.003217863;1.29E-05;0.015;3148.5;58.6;4
4;AN;0.167559182;3.042494859;0.0549;0;1.03;794.4338959;2.31E+01;0.003217863;1.29E-05;0.015;3158;54.9;4
4;AN;0.165931754;4.962364166;0.0549;0;1.03;794.4669915;2.27E+01;0.003217863;1.29E-05;0.015;3174.3;52.7;4
4;AN;0.17142229;6.167507771;0.0549;0;1.03;794.4425566;2.29E+01;0.003217863;1.29E-05;0.015;3166.4;61.4;4
5;IN;0.289455175;0.139009448;0.0549;0;1.03;793.6420627;2.36E+01;0.003217863;1.29E-05;0.015;3167.7;60.3;5
5;IN;0.248582675;0.540733536;0.0549;0;1.03;793.9847999;2.38E+01;0.003217863;1.29E-05;0.015;3165.2;61.4;5
5;IN;0.242711235;0.953043851;0.0549;0;1.03;794.0224848;2.35E+01;0.003217863;1.29E-05;0.015;3162.6;60.7;5
5;IN;0.234906028;1.70638174;0.0549;0;1.03;794.0479528;2.36E+01;0.003217863;1.29E-05;0.015;3162.1;59.2;4
4;AN;0.250022699;3.297337047;0.0549;0;1.03;794.0408246;2.31E+01;0.003217863;1.29E-05;0.015;3173.6;55.7;4
4;AN;0.218848445;4.85448698;0.0549;0;1.03;794.0413239;2.28E+01;0.003217863;1.29E-05;0.015;3186.1;58.2;4
4;AN;0.24122496;6.057354325;0.0549;0;1.03;794.0454046;2.31E+01;0.003217863;1.29E-05;0.015;3189.3;61.4;4
5;IN;0.308603402;0.427903578;0.0549;0;1.03;792.5824163;2.41E+01;0.003217863;1.29E-05;0.015;3198.3;57;5
5;IN;0.336257355;0.92649268;0.0549;0;1.03;792.8008699;2.40E+01;0.003217863;1.29E-05;0.015;3193.6;53.3;5
5;IN;0.284450922;1.727301461;0.0549;0;1.03;792.7932197;2.36E+01;0.003217863;1.29E-05;0.015;3190.7;54.3;4
4;AN;0.335257464;3.17812415;0.0549;0;1.03;792.9093512;2.32E+01;0.003217863;1.29E-05;0.015;3197.8;55.5;4
4;AN;0.304535115;4.629646584;0.0549;0;1.03;793.2072486;2.28E+01;0.003217863;1.29E-05;0.015;3196.5;58.3;4
4;AN;0.309176641;5.849431037;0.0549;0;1.03;793.5595741;2.32E+01;0.003217863;1.29E-05;0.015;3204.5;60.4;4
5;IN;0.834599592;0.110526634;0.0549;0;1.03;793.5926924;2.47E+01;0.003217863;1.29E-05;0.015;3250.3;63.4;5
5;IN;0.829338839;0.533373398;0.0549;0;1.03;794.2541737;2.46E+01;0.003217863;1.29E-05;0.015;3251.8;63.4;5
5;IN;0.713492798;0.920997925;0.0549;0;1.03;793.4231406;2.46E+01;0.003217863;1.29E-05;0.015;3249.3;63.8;5
5;IN;0.7753483;1.544004847;0.0549;0;1.03;794.6824082;2.42E+01;0.003217863;1.29E-05;0.015;3249.5;62.1;5
5;IN;0.787413773;3.094177667;0.0549;0;1.03;795.5002581;2.39E+01;0.003217863;1.29E-05;0.015;3280;62.3;5
5;IN;0.78478622;4.323190185;0.0549;0;1.03;798.4027756;2.42E+01;0.003217863;1.29E-05;0.015;3267.3;59.9;5
4;AN;0.78239019;5.844270635;0.0549;0;1.03;796.1780356;2.45E+01;0.003217863;1.29E-05;0.015;3273.6;60;4
5;IN;0.061943904;0.117181954;0.0549;0;90;795.7635315;2.39E+01;0.003217863;1.29E-05;0.015;3170.6;62.6;5
5;IN;0.066371232;0.46168919;0.0549;0;90;796.1128656;2.38E+01;0.003217863;1.29E-05;0.015;3176.9;63.1;5
5;IN;0.073289687;0.940493942;0.0549;0;90;795.6270606;2.39E+01;0.003217863;1.29E-05;0.015;3177.4;60.3;5
5;IN;0.06455132;1.566385059;0.0549;0;90;795.2176411;2.37E+01;0.003217863;1.29E-05;0.015;3176.8;57.5;5
5;IN;0.064393717;3.210323816;0.0549;0;90;795.3113373;2.32E+01;0.003217863;1.29E-05;0.015;3180.9;51.3;5
4;AN;0.072193069;5.023914891;0.0549;0;90;795.384674;2.29E+01;0.003217863;1.29E-05;0.015;3214.8;54.2;5
4;AN;0.080130367;5.889238486;0.0549;0;90;795.252783;2.33E+01;0.003217863;1.29E-05;0.015;3190.7;50.1;5
5;IN;0.090446318;0.132313955;0.0549;0;90;795.7966404;2.39E+01;0.003217863;1.29E-05;0.015;3167.6;52.9;5
5;IN;0.105283345;0.476583103;0.0549;0;90;794.042353;2.40E+01;0.003217863;1.29E-05;0.015;3186.8;65.1;5
5;IN;0.114577706;0.895798596;0.0549;0;90;793.9674933;2.40E+01;0.003217863;1.29E-05;0.015;3191.8;64.3;5
5;IN;0.108586519;1.512954026;0.0549;0;90;793.9792081;2.34E+01;0.003217863;1.29E-05;0.015;3193.7;61.8;5
5;IN;0.125829821;3.189140008;0.0549;0;90;793.8778537;2.30E+01;0.003217863;1.29E-05;0.015;3202.1;56.7;5
4;AN;0.125449884;4.6713607;0.0549;0;90;793.6751863;2.27E+01;0.003217863;1.29E-05;0.015;3210.5;52.2;5
4;AN;0.11520751;6.104407639;0.0549;0;90;794.8448732;2.34E+01;0.003217863;1.29E-05;0.015;3188.5;49.3;4
5;IN;0.138315765;0.338656827;0.0549;0;90;793.9511984;2.42E+01;0.003217863;1.29E-05;0.015;3202.7;65.6;5
5;IN;0.161395955;0.444554834;0.0549;0;90;793.9501679;2.41E+01;0.003217863;1.29E-05;0.015;3203.4;65.5;5
5;IN;0.154283074;0.89309929;0.0549;0;90;793.9929507;2.39E+01;0.003217863;1.29E-05;0.015;3204.6;64;5
5;IN;0.156405794;1.596284988;0.0549;0;90;793.969023;2.33E+01;0.003217863;1.29E-05;0.015;3208;62.3;5
5;IN;0.162723856;3.247589354;0.0549;0;90;793.9634125;2.29E+01;0.003217863;1.29E-05;0.015;3217.9;58;5
4;AN;0.159059303;4.702599009;0.0549;0;90;793.9848039;2.26E+01;0.003217863;1.29E-05;0.015;3229.3;53.9;5
4;AN;0.149864745;5.918352475;0.0549;0;90;794.8489259;2.32E+01;0.003217863;1.29E-05;0.015;3200.2;51.6;4
5;IN;0.232786563;0.440483891;0.0549;0;90;794.7501265;2.36E+01;0.003217863;1.29E-05;0.015;3215.7;63.1;5
5;IN;0.229025308;0.975842988;0.0549;0;90;794.8361912;2.35E+01;0.003217863;1.29E-05;0.015;3218.7;62.5;5
5;IN;0.264071171;1.581929559;0.0549;0;90;795.1330914;2.31E+01;0.003217863;1.29E-05;0.015;3228.9;59.9;5
5;IN;0.227375625;3.117560413;0.0549;0;90;793.9466171;2.28E+01;0.003217863;1.29E-05;0.015;3222;58.8;5
4;AN;0.251905491;4.40368155;0.0549;0;90;793.9511984;2.27E+01;0.003217863;1.29E-05;0.015;3239.7;55.9;5
4;AN;0.241620728;5.936655536;0.0549;0;90;794.9640188;2.34E+01;0.003217863;1.29E-05;0.015;3200.3;58.9;4
5;IN;0.300976311;0.165661983;0.0549;0;90;799.1233558;2.34E+01;0.003217863;1.29E-05;0.015;3214.5;61.4;5
5;IN;0.338345958;0.39078584;0.0549;0;90;799.0866895;2.39E+01;0.003217863;1.29E-05;0.015;3218.5;61;5
5;IN;0.326234879;0.913959721;0.0549;0;90;799.3907393;2.36E+01;0.003217863;1.29E-05;0.015;3225.3;59.5;5
5;IN;0.334918109;1.560554733;0.0549;0;90;799.0153978;2.31E+01;0.003217863;1.29E-05;0.015;3227.2;59;5
5;IN;0.342277429;3.101478508;0.0549;0;90;797.5727717;2.29E+01;0.003217863;1.29E-05;0.015;3238.1;63.2;5
4;AN;0.305956451;4.144855235;0.0549;0;90;797.9674515;2.28E+01;0.003217863;1.29E-05;0.015;3248.8;63.6;5
4;AN;0.322861139;5.946682128;0.0549;0;90;797.8696466;2.36E+01;0.003217863;1.29E-05;0.015;3213.5;58.7;4
7;BL;0.841379232;0.133540204;0.0549;0;90;801.1123903;2.36E+01;0.003217863;1.29E-05;0.015;3199.2;55.2;7
5;IN;0.770975227;0.423309976;0.0549;0;90;799.2211448;2.35E+01;0.003217863;1.29E-05;0.015;3203.8;56.2;5
5;IN;0.753880773;0.912476029;0.0549;0;90;799.8673551;2.35E+01;0.003217863;1.29E-05;0.015;3216;56.6;5
5;IN;0.756923777;1.583084652;0.0549;0;90;799.8021785;2.31E+01;0.003217863;1.29E-05;0.015;3230.8;57;5
5;IN;0.785524406;2.920941031;0.0549;0;90;797.5437635;2.32E+01;0.003217863;1.29E-05;0.015;3267;59.9;5
5;IN;0.784851551;2.973993704;0.0549;0;90;798.3422017;2.31E+01;0.003217863;1.29E-05;0.015;3267.6;59.5;5
4;AN;0.768955805;6.358505359;0.0549;0;90;799.1890744;2.45E+01;0.003217863;1.29E-05;0.015;3136.7;57.2;4
3;SW;0.053228428;0.155706749;0.0549;0;0.0052;797.5793967;9.37E+00;0.003217863;1.29E-05;0.015;1501.4;60.1;3
3;SW;0.053338857;0.233280345;0.0549;0;0.0052;797.3207206;9.47E+00;0.003217863;1.29E-05;0.015;1492.2;61.6;3
3;SW;0.057629126;0.8991918;0.0549;0;0.0052;797.1149963;9.50E+00;0.003217863;1.29E-05;0.015;1487.8;61.8;3
4;AN;0.060205805;1.829408976;0.0549;0;0.0052;796.5115848;9.17E+00;0.003217863;1.29E-05;0.015;1486.9;61.9;3
4;AN;0.060563651;3.044746315;0.0549;0;0.0052;794.4634687;8.85E+00;0.003217863;1.29E-05;0.015;1556.5;60.3;3
4;AN;0.064996068;4.666261769;0.0549;0;0.0052;796.8491773;8.94E+00;0.003217863;1.29E-05;0.015;1455.6;53.2;4
4;AN;0.065660256;6.149198899;0.0549;0;0.0052;798.9812891;9.04E+00;0.003217863;1.29E-05;0.015;1460.3;50.7;4
4;AN;0.108584381;0.229693582;0.0549;0;0.0052;796.4947547;9.59E+00;0.003217863;1.29E-05;0.015;1451;60.1;5
5;IN;0.090045407;0.603369216;0.0549;0;0.0052;799.3291081;9.88E+00;0.003217863;1.29E-05;0.015;1481.9;64;3
5;IN;0.099230555;0.945938034;0.0549;0;0.0052;799.3250314;9.32E+00;0.003217863;1.29E-05;0.015;1489.3;61.2;3
4;AN;0.101108201;1.826262646;0.0549;0;0.0052;794.4252633;9.62E+00;0.003217863;1.29E-05;0.015;1478.7;61.4;3
4;AN;0.10028286;3.062202445;0.0549;0;0.0052;791.1800393;8.10E+00;0.003217863;1.29E-05;0.015;1407.7;64.3;4
4;AN;0.106193823;4.538560769;0.0549;0;0.0052;791.201432;8.13E+00;0.003217863;1.29E-05;0.015;1410.3;62.9;4
4;AN;0.125842916;6.045403927;0.0549;0;0.0052;794.1767736;9.41E+00;0.003217863;1.29E-05;0.015;1496.3;58.9;4
5;IN;0.144559676;0.192494027;0.0549;0;0.0052;796.4326323;1.02E+01;0.003217863;1.29E-05;0.015;1471.3;64.7;5
5;IN;0.150103799;0.329270162;0.0549;0;0.0052;798.8987858;9.38E+00;0.003217863;1.29E-05;0.015;1487.1;59.9;5
5;IN;0.143340691;0.896778516;0.0549;0;0.0052;796.862446;9.64E+00;0.003217863;1.29E-05;0.015;1450.6;59.9;5
4;AN;0.156443165;1.849063032;0.0549;0;0.0052;794.3076368;9.66E+00;0.003217863;1.29E-05;0.015;1479.7;63.3;4
4;AN;0.153192094;3.211839243;0.0549;0;0.0052;796.9622586;8.39E+00;0.003217863;1.29E-05;0.015;1369.8;61.2;4
4;AN;0.132816005;4.478546223;0.0549;0;0.0052;796.7157766;8.43E+00;0.003217863;1.29E-05;0.015;1373.5;59.2;4
4;AN;0.150385414;7.013409155;0.0549;0;0.0052;796.912345;8.75E+00;0.003217863;1.29E-05;0.015;1383.5;58.6;4
5;IN;0.232713112;0.239697206;0.0549;0;0.0052;794.8993495;9.64E+00;0.003217863;1.29E-05;0.015;1468.2;56.2;5
5;IN;0.225839491;0.576273548;0.0549;0;0.0052;794.9151357;9.65E+00;0.003217863;1.29E-05;0.015;1469.2;53.3;5
5;IN;0.233789922;0.99255729;0.0549;0;0.0052;797.2381853;9.56E+00;0.003217863;1.29E-05;0.015;1454.1;61;5
5;IN;0.221917319;1.640978865;0.0549;0;0.0052;798.4990348;9.86E+00;0.003217863;1.29E-05;0.015;1362.7;62.5;5
5;IN;0.249450521;3.160337998;0.0549;0;0.0052;794.3524218;9.32E+00;0.003217863;1.29E-05;0.015;1492.4;62.7;4
4;AN;0.230230778;4.28332776;0.0549;0;0.0052;794.2373583;9.23E+00;0.003217863;1.29E-05;0.015;1496.2;61.5;4
4;AN;0.23998224;5.815090316;0.0549;0;0.0052;794.3285008;9.49E+00;0.003217863;1.29E-05;0.015;1500.3;60.5;4
5;IN;0.344911798;0.124492178;0.0549;0;0.0052;797.5167537;9.68E+00;0.003217863;1.29E-05;0.015;1475.3;69.1;5
5;IN;0.287313393;0.57447065;0.0549;0;0.0052;795.3036951;9.84E+00;0.003217863;1.29E-05;0.015;1461.9;56.2;5
5;IN;0.295387133;0.956902273;0.0549;0;0.0052;794.9925451;9.64E+00;0.003217863;1.29E-05;0.015;1465.6;56.7;5
5;IN;0.334330288;1.7603404;0.0549;0;0.0052;797.5900824;9.44E+00;0.003217863;1.29E-05;0.015;1457.6;59.6;5
5;IN;0.345942452;2.996434428;0.0549;0;0.0052;800.1107402;9.22E+00;0.003217863;1.29E-05;0.015;1452.1;62;5
5;IN;0.281116951;4.434311091;0.0549;0;0.0052;801.1500765;9.44E+00;0.003217863;1.29E-05;0.015;1457.2;61;4
5;IN;0.294773369;6.445034326;0.0549;0;0.0052;802.4837074;9.67E+00;0.003217863;1.29E-05;0.015;1464.4;59.9;4
5;IN;0.786048339;0.115081603;0.0549;0;0.0052;797.1618037;9.25E+00;0.003217863;1.29E-05;0.015;1461.9;62.4;5
5;IN;0.831171521;0.41450727;0.0549;0;0.0052;800.2293839;9.85E+00;0.003217863;1.29E-05;0.015;1463.4;59.2;5
5;IN;0.783418429;0.96363811;0.0549;0;0.0052;796.3796658;9.09E+00;0.003217863;1.29E-05;0.015;1479.7;64.8;5
5;IN;0.752177764;1.763716124;0.0549;0;0.0052;795.5425243;9.19E+00;0.003217863;1.29E-05;0.015;1482.6;65.2;5
5;IN;0.773397082;3.121256575;0.0549;0;0.0052;795.1300653;8.90E+00;0.003217863;1.29E-05;0.015;1499.8;65.1;5
5;IN;0.742887471;4.598720083;0.0549;0;0.0052;794.6589638;9.25E+00;0.003217863;1.29E-05;0.015;1507.3;64.9;5
5;IN;0.881723458;6.339859824;0.0549;0;0.0052;795.1448263;9.82E+00;0.003217863;1.29E-05;0.015;1530.4;64.8;5
5;IN;0.061248944;0.12904229;0.0549;0;1.03;800.5583544;1.12E+01;0.003217863;1.29E-05;0.015;1445.9;62.5;5
5;IN;0.060827789;0.438140509;0.0549;0;1.03;800.6230265;1.12E+01;0.003217863;1.29E-05;0.015;1450.1;60.1;5
5;IN;0.052155781;0.986451619;0.0549;0;1.03;800.6204835;1.10E+01;0.003217863;1.29E-05;0.015;1457.1;54.5;4
5;IN;0.052711283;1.560901128;0.0549;0;1.03;800.6474734;9.91E+00;0.003217863;1.29E-05;0.015;1449.6;60.1;4
4;AN;0.063966742;3.218517811;0.0549;0;1.03;799.6652029;9.18E+00;0.003217863;1.29E-05;0.015;1410.7;58.9;4
4;AN;0.056653951;4.436360835;0.0549;0;1.03;800.8796829;9.80E+00;0.003217863;1.29E-05;0.015;1461.8;53.7;4
4;AN;0.062983112;5.880410627;0.0549;0;1.03;800.6612132;9.74E+00;0.003217863;1.29E-05;0.015;1466.1;54;4
5;IN;0.10093457;0.09734266;0.0549;0;1.03;800.9840608;1.10E+01;0.003217863;1.29E-05;0.015;1464.3;64.5;5
5;IN;0.100019872;0.412917283;0.0549;0;1.03;800.9509732;1.12E+01;0.003217863;1.29E-05;0.015;1456.6;61.6;5
5;IN;0.089140717;0.97331053;0.0549;0;1.03;800.8857766;1.11E+01;0.003217863;1.29E-05;0.015;1457.9;61.6;5
